CPU,Cores,CPU BenchMark,Single-Thread BenchMark,TDP (W),Socket,Category
AMD Ryzen 7 PRO 6850U,8,20799,3235,28,FP7,Laptop
AMD Ryzen 7 PRO 6860Z,8,20863,3167,28,Unknown,Laptop
AMD Ryzen 7 PRO 7730U,8,19045,3077,15,Unknown,Laptop
AMD Ryzen 7 Pro 7735U,8,19641,3184,28,FP7,Laptop
AMD Ryzen 7 PRO 7745,8,34652,4083,65,AM5 (LGA 1718),"Desktop, Server"
AMD Ryzen 7 PRO 7840HS,8,26584,3515,54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 7 PRO 7840U,8,24732,3690,30,Unknown,Laptop
AMD Ryzen 7 PRO 8700G,8,31897,3984,65,AM5,Desktop
AMD Ryzen 7 PRO 8700GE,8,30199,3974,35,AM5,Desktop
AMD Ryzen 7 PRO 8840HS,8,26530,3638,28,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 PRO 8840U,8,23778,3640,28,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 7 PRO 8845HS,8,29052,3827,45,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 9 3900,12,30794,2622,65,AM4,Desktop
AMD Ryzen 9 3900X,12,32622,2706,105,AM4,Desktop
AMD Ryzen 9 3900XT,12,32669,2746,105,AM4,Desktop
AMD Ryzen 9 3950X,16,38747,2704,105,AM4,Desktop
AMD Ryzen 9 4900H,8,19132,2706,45,FP6,Laptop
AMD Ryzen 9 4900HS,8,18977,2599,35,FP6,Laptop
AMD Ryzen 9 5900,12,34392,3449,65,AM4,Desktop
AMD Ryzen 9 5900H,8,20557,2977,NA,AM4,Laptop
AMD Ryzen 9 5900HS,8,21664,3163,35,FP6,Laptop
AMD Ryzen 9 5900HS Creator Edition,8,22138,3275,35,Unknown,Laptop
AMD Ryzen 9 5900HX,8,22528,3194,45,FP6,Laptop
AMD Ryzen 9 5900X,12,39114,3469,105,AM4,Desktop
AMD Ryzen 9 5900XT,16,44412,3349,105,AM4,Desktop
AMD Ryzen 9 5950X,16,45611,3469,105,AM4,Desktop
[5-Way CPU] AMD Ryzen 9 5950X,16,13220,2972,105,AM4,Desktop
AMD Ryzen 9 5980HS,8,21318,3192,35,FP6,Laptop
AMD Ryzen 9 5980HX,8,23513,3342,45,FP6,Laptop
AMD Ryzen 9 6900HS,8,23579,3284,35,FP7,Laptop
AMD Ryzen 9 6900HS Creator Edition,8,21777,3312,35,FP7,Laptop
AMD Ryzen 9 6900HX,8,24792,3444,45,FP7,Laptop
AMD Ryzen 9 7845HX,12,45611,3963,55,FL1,Laptop
AMD Ryzen 9 7900,12,48852,4151,65,AM5,Desktop
AMD Ryzen 9 7900X,12,51732,4257,170,AM5,Desktop
AMD Ryzen 9 7900X3D,12,50385,4131,120,AM5 (LGA 1718),Desktop
AMD Ryzen 9 7940H,8,28660,3956,54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 9 7940HS,8,30368,3901,54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 9 7940HX,16,53143,3959,55,AM5 (LGA 1718),"Desktop, Laptop"
AMD Ryzen 9 7945HX,16,54631,4055,55,FL1,Laptop
AMD Ryzen 9 7945HX3D,16,58093,4122,55,FL1,Laptop
AMD Ryzen 9 7950X,16,62732,4277,170,AM5,Desktop
AMD Ryzen 9 7950X3D,16,62494,4149,120,AM5,Desktop
AMD Ryzen 9 8945H,8,30830,3957,45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 9 8945HS,8,29421,3867,45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 9 9900X,12,54654,4671,120,AM5,Desktop
AMD Ryzen 9 9950X,16,66341,4728,170,AM5,Desktop
AMD Ryzen 9 PRO 3900,12,31616,2681,65,AM4,Desktop
AMD Ryzen 9 PRO 5945,12,34573,3497,65,AM4,Desktop
AMD Ryzen 9 PRO 6950H,8,22703,3215,45,FP7,Laptop
AMD Ryzen 9 PRO 6950HS,8,22697,3405,35,FP7,Laptop
AMD Ryzen 9 PRO 7940HS,8,28187,3757,45,FP7 FP7r2,Laptop
AMD Ryzen 9 PRO 7945,12,47830,4178,65,AM5 (LGA 1718),"Desktop, Server"
AMD Ryzen 9 PRO 8945HS,8,31601,3977,45,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen AI 9 365,10,29126,3869,28,FP8,"Desktop, Laptop"
AMD Ryzen AI 9 HX 370,12,35200,3999,28,FP8,"Desktop, Laptop"
AMD Ryzen Embedded R1305G,2,2953,1587,8,FP5,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded R1505G,2,3810,1831,15,FP5,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded R1600,2,3365,1779,25,FC-BGA1140,Mobile/Embedded
AMD Ryzen Embedded R1606G,2,4135,1897,15,FP5,"Desktop, Mobile/Embedded"
AMD Ryzen Embedded R2312,2,3865,1943,25,FP5,Mobile/Embedded
AMD Ryzen Embedded R2314,4,6031,1921,NA,Unknown,Mobile/Embedded
AMD Ryzen Embedded R2514,4,6998,1933,15,FP5,Mobile/Embedded
AMD Ryzen Embedded R2544,4,8486,2102,45,FP5,Mobile/Embedded
AMD Ryzen Embedded V1202B,2,3512,1624,15,FP5,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded V1404I,4,6007,1621,15,Unknown,"Desktop, Mobile/Embedded"
AMD Ryzen Embedded V1500B,4,4633,1211,16,BGA1140,Mobile/Embedded
AMD Ryzen Embedded V1500B Quad-core @ 2.20GHz,4,5417,1286,NA,Unknown,Mobile/Embedded
AMD Ryzen Embedded V1605B,4,6677,1908,15,FP5,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded V1756B,4,8208,2091,45,FP5,"Desktop, Mobile/Embedded"
AMD Ryzen Embedded V1807B,4,8553,2213,45,FP5,"Laptop, Mobile/Embedded"
AMD Ryzen Embedded V1807F,4,7775,1838,NA,Unknown,Mobile/Embedded
AMD Ryzen Embedded V2516,6,13016,2439,15,FP6,Mobile/Embedded
AMD Ryzen Embedded V2546,6,16236,2513,NA,FP6,Desktop
AMD Ryzen Embedded V2718,8,16075,2240,15,FP6,Mobile/Embedded
AMD Ryzen Embedded V2748,8,16706,2680,54,FP6,Mobile/Embedded
AMD Ryzen Embedded V3C18I,8,17053,2836,15,Unknown,Mobile/Embedded
AMD Ryzen Embedded V3C48,8,20203,2804,45,Unknown,Mobile/Embedded
AMD Ryzen Threadripper 1900X,8,16809,2326,180,sTR4,Desktop
AMD Ryzen Threadripper 1920,12,22066,2299,140,sTR4,Desktop
AMD Ryzen Threadripper 1920X,12,23096,2316,180,sTR4,Desktop
AMD Ryzen Threadripper 1950X,16,27622,2275,180,sTR4,Desktop
AMD Ryzen Threadripper 2920X,12,25444,2491,180,sTR4,Desktop
AMD Ryzen Threadripper 2950X,16,29450,2460,180,sTR4,Desktop
AMD Ryzen Threadripper 2970WX,24,30653,2328,250,sTR4,"Desktop, Server"
AMD Ryzen Threadripper 2990WX,32,32161,2283,250,sTR4,"Desktop, Server"
AMD Ryzen Threadripper 2990X,32,25874,2312,250,TR4,Desktop
AMD Ryzen Threadripper 3960X,24,54896,2682,280,sTRX4,Desktop
AMD Ryzen Threadripper 3970X,32,63105,2665,280,sTRX4,Desktop
AMD Ryzen Threadripper 3990X,64,80659,2565,280,sTRX4,Desktop
AMD Ryzen Threadripper 7960X,24,83041,4080,350,sTR5,Desktop
AMD Ryzen Threadripper 7970X,32,97988,4123,350,sTR5,Desktop
AMD Ryzen Threadripper 7980X,64,134223,3956,350,sTR5,Desktop
AMD Ryzen Threadripper PRO 3945WX,12,33535,2697,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 3955WX,16,40299,2680,280,sWRX8,"Desktop, Server"
[Dual CPU] AMD Ryzen Threadripper PRO 3955WX,16,63885,2439,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 3975WX,32,62572,2657,280,sWRX8,"Desktop, Server"
[Dual CPU] AMD Ryzen Threadripper PRO 3975WX,32,98811,2676,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 3995WX,64,83697,2598,280,sWRX8,"Desktop, Server"
[Dual CPU] AMD Ryzen Threadripper PRO 3995WX,64,113693,2559,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 5945WX,12,40568,3356,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 5955WX,16,50096,3344,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 5965WX,24,66686,3359,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 5975WX,32,75654,3315,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 5995WX,64,93192,3207,280,sWRX8,"Desktop, Server"
AMD Ryzen Threadripper PRO 7945WX,12,49599,4086,350,sTR5,Desktop
AMD Ryzen Threadripper PRO 7955WX,16,59861,4084,350,sTR5,Desktop
AMD Ryzen Threadripper PRO 7965WX,24,80736,3961,350,sTR5,Desktop
AMD Ryzen Threadripper PRO 7975WX,32,95664,4064,350,sTR5,Desktop
AMD Ryzen Threadripper PRO 7985WX,64,135433,3984,350,sTR5,Desktop
AMD Ryzen Threadripper PRO 7995WX,96,153038,3960,350,sTR5,Desktop
AMD Ryzen Z1,6,18778,3735,30,Unknown,Mobile/Embedded
AMD Ryzen Z1 Extreme,8,25078,3604,NA,Unknown,Mobile/Embedded
AMD Sempron 130,1,511,1059,45,AM2+/AM3,Unknown
AMD Sempron 140,1,486,1037,45,AM3,Desktop
AMD Sempron 145,1,518,1015,45,AM3,Desktop
AMD Sempron 150,1,597,1117,45,AM3,Desktop
AMD Sempron 200U,1,125,311,8,Unknown,Unknown
AMD Sempron 210U,1,267,299,15,Unknown,Unknown
AMD Sempron 2200+,1,184,279,NA,Socket A,Desktop
AMD Sempron 2300+,1,207,314,NA,Socket A,Desktop
AMD Sempron 240,2,1278,1300,65,FM2,Desktop
AMD Sempron 2400+,1,205,321,NA,Socket A,Desktop
AMD Sempron 2500+,1,207,405,NA,Socket A,Desktop
AMD Sempron 2600+,1,253,325,NA,Socket A,Desktop
AMD Sempron 2650 APU,2,551,477,25,"AM1,FSB1",Desktop
AMD Sempron 2800+,1,243,408,62,AM2,Desktop
AMD Sempron 3000+,1,286,462,62,AM2,Desktop
AMD Sempron 3100+,1,298,383,62,754,Desktop
AMD Sempron 3200+,1,251,456,62,AM2,Desktop
AMD Sempron 3300+,1,315,394,62,754,Desktop
AMD Sempron 3400+,1,292,346,62,AM2,Desktop
AMD Sempron 3500+,1,232,264,62,AM2,Desktop
AMD Sempron 3600+,1,364,377,62,AM2,Desktop
AMD Sempron 3800+,1,360,422,62,AM2,Desktop
AMD Sempron 3850 APU,4,1150,448,25,"AM1,FS1b",Desktop
AMD Sempron Dual Core 2100,2,533,596,65,Unknown,Unknown
AMD Sempron Dual Core 2200,2,563,649,65,Unknown,Unknown
AMD Sempron Dual Core 2300,2,555,697,65,Unknown,Unknown
AMD Sempron LE-1100,1,315,509,45,AM2,Desktop
AMD Sempron LE-1150,1,251,477,45,AM2,Desktop
AMD Sempron LE-1200,1,349,551,45,AM2,Desktop
AMD Sempron LE-1250,1,301,508,45,AM2,Desktop
AMD Sempron LE-1300,1,417,614,45,AM2,Desktop
AMD Sempron M100,1,332,546,NA,Unknown,Unknown
AMD Sempron M120,1,247,559,25,S1,Laptop
AMD Sempron SI-40,1,288,631,25,S1,Laptop
AMD Sempron SI-42,1,245,637,25,S1,Laptop
AMD Sempron X2 180,2,826,865,45,Unknown,Unknown
AMD Sempron X2 190,2,879,977,45,AM2+/AM3,Unknown
AMD Sempron X2 198 Dual-Core,2,930,1070,65,FM1,Desktop
AMD Turion 64 Mobile MK-36,1,334,735,31,S1,Laptop
AMD Turion 64 Mobile MK-38,1,362,801,31,S1,Laptop
AMD Turion 64 Mobile ML-28,1,254,314,25,754,Laptop
AMD Turion 64 Mobile ML-30,1,277,314,35,754,Laptop
AMD Turion 64 Mobile ML-32,1,285,321,35,754,Laptop
AMD Turion 64 Mobile ML-34,1,319,526,35,754,Laptop
AMD Turion 64 Mobile ML-37,1,334,510,35,754,Laptop
AMD Turion 64 Mobile ML-40,1,336,662,35,754,Laptop
AMD Turion 64 Mobile ML-42,1,400,455,35,754,Laptop
AMD Turion 64 Mobile ML-44,1,384,469,35,754,Laptop
AMD Turion 64 Mobile MT-30,1,246,294,25,754,Laptop
AMD Turion 64 Mobile MT-32,1,286,367,24,754,Laptop
AMD Turion 64 Mobile MT-34,1,279,328,24,754,Laptop
AMD Turion 64 Mobile MT-37,1,274,501,25,754,Laptop
AMD Turion 64 X2 Mobile TL-50,2,474,541,31,S1,Laptop
AMD Turion 64 X2 Mobile TL-52,2,534,564,31,S1,Laptop
AMD Turion 64 X2 Mobile TL-56,2,514,597,31,S1,Laptop
AMD Turion 64 X2 Mobile TL-58,2,483,574,31,S1,Laptop
AMD Turion 64 X2 Mobile TL-60,2,639,703,31,S1,Laptop
AMD Turion 64 X2 Mobile TL-62,2,649,724,35,S1,Laptop
AMD Turion 64 X2 Mobile TL-64,2,675,702,35,S1,Laptop
AMD Turion 64 X2 Mobile TL-66,2,696,846,35,S1,Laptop
AMD Turion 64 X2 Mobile TL-68,2,866,882,35,S1,Laptop
AMD Turion Dual-Core RM-70,2,561,548,31,S1,Laptop
AMD Turion Dual-Core RM-72,2,649,725,35,S1,Laptop
AMD Turion Dual-Core RM-74,2,588,595,35,S1,Laptop
AMD Turion Dual-Core RM-75,2,659,444,35,S1,Laptop
AMD Turion II Dual-Core Mobile M500,2,756,847,35,S1,Laptop
AMD Turion II Dual-Core Mobile M520,2,844,923,35,S1,Laptop
AMD Turion II Dual-Core Mobile M540,2,912,967,35,S1,Laptop
AMD Turion II N530 Dual-Core,2,855,968,35,S1,Laptop
AMD Turion II N550 Dual-Core,2,877,891,35,S1,Laptop
AMD Turion II Neo K625 Dual-Core,2,618,631,15,S1,Laptop
AMD Turion II Neo K685 Dual-Core,2,684,729,15,BGA812,Laptop
AMD Turion II Neo N40L Dual-Core,2,617,635,15,BGA812,Laptop
AMD Turion II Neo N54L Dual-Core,2,853,894,25,BGA812,Laptop
AMD Turion II P520 Dual-Core,2,812,882,25,S1,Laptop
AMD Turion II P540 Dual-Core,2,954,937,35,S1,Laptop
AMD Turion II P560 Dual-Core,2,878,1001,25,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M600,2,955,987,35,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M620,2,814,945,35,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M640,2,1034,1067,35,S1,Laptop
AMD Turion II Ultra Dual-Core Mobile M660,2,1011,1103,35,S1,Laptop
AMD Turion Neo X2 Dual Core L625,2,432,486,18,ASB1,Laptop
AMD Turion X2 Dual Core L510,2,603,593,20,ASB1,Laptop
AMD Turion X2 Dual Core Mobile RM-70,2,497,504,31,S1,Laptop
AMD Turion X2 Dual Core Mobile RM-76,2,691,729,35,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-70,2,612,672,31,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-72,2,653,756,35,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-74,2,655,738,35,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-75,2,727,783,35,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-76,2,799,761,35,S1,Laptop
AMD Turion X2 Dual-Core Mobile RM-77,2,562,735,35,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-80,2,506,618,32,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-82,2,733,770,35,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-84,2,802,787,35,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,2,828,864,35,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,2,695,820,35,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,2,741,730,35,S1,Laptop
AMD TurionX2 Dual Core Mobile RM-70,2,536,674,31,S1,Laptop
AMD TurionX2 Dual Core Mobile RM-72,2,471,392,35,S1,Laptop
AMD TurionX2 Ultra DualCore Mobile ZM-85,2,841,686,35,S1,Laptop
AMD TurionX2 Ultra DualCore Mobile ZM-87,2,599,770,35,S1,Mobile/Embedded
AMD V105,1,184,452,9,BGA812,Laptop
AMD V120,1,352,806,25,S1,Laptop
AMD V140,1,422,860,25,S1,Laptop
AMD V160,1,337,838,25,S1,Laptop
AMD Z-01,2,305,294,NA,Unknown,Unknown
AMD Z-60 APU,2,262,318,4.5,FT1,Laptop
Amlogic,4,636,457,NA,Unknown,Unknown
Amlogic AMLS905D3,4,815,493,NA,Unknown,Mobile/Embedded
Amlogic AMLS905X4,4,827,555,NA,Unknown,Mobile/Embedded
Amlogic AMLT982,4,972,531,NA,Unknown,Mobile/Embedded
Ampere ARM - 192 Core 3200 MHz,192,57444,1228,NA,Unknown,Server
ap201,4,565,385,NA,Unknown,Mobile/Embedded
Apple A11 Bionic,6,4420,1323,NA,Unknown,Mobile/Embedded
Apple A12 Bionic,6,4981,1987,NA,Unknown,Mobile/Embedded
Apple A12X Bionic,8,11035,2652,NA,Unknown,Mobile/Embedded
Apple A12Z Bionic,8,9365,2202,NA,Unknown,Mobile/Embedded
Apple A13 Bionic,6,5699,2327,NA,Unknown,Mobile/Embedded
Apple A14 Bionic,6,8548,3393,NA,Unknown,Mobile/Embedded
Apple A15 Bionic,6,9902,3602,NA,Unknown,Mobile/Embedded
Apple A16 Bionic,6,11068,4072,NA,Unknown,Mobile/Embedded
Apple A17 Pro,6,12256,4542,NA,Unknown,Mobile/Embedded
Apple A18,6,12996,4074,NA,Unknown,Mobile/Embedded
Apple A18 Pro,6,12896,4137,NA,Unknown,Mobile/Embedded
Apple A8,2,1515,914,NA,Unknown,Mobile/Embedded
Apple A8X,3,2376,933,NA,Unknown,Mobile/Embedded
Apple A9,2,2067,1188,NA,Unknown,Mobile/Embedded
Apple A9X,2,2517,1510,NA,Unknown,Mobile/Embedded
Apple M1 8 Core 3200 MHz,8,14160,3689,15.1,Unknown,"Desktop, Laptop, Mobile/Embedded"
Apple M1 Max 10 Core 3200 MHz,10,22072,3837,NA,Unknown,"Desktop, Laptop"
Apple M1 Pro 10 Core 3200 MHz,10,21862,3804,NA,Unknown,"Desktop, Laptop"
Apple M1 Pro 8 Core 3200 MHz,8,17186,3767,NA,Unknown,"Desktop, Laptop"
Apple M1 Ultra 20 Core,20,41176,3869,60,Unknown,Desktop
Apple M2 8 Core 3500 MHz,8,15540,3903,NA,Unknown,"Desktop, Laptop"
Apple M2 Max 12 Core 3680 MHz,12,26601,4142,NA,Unknown,Laptop
Apple M2 Pro 10 Core 3480 MHz,10,21726,4099,NA,Unknown,"Desktop, Laptop"
Apple M2 Pro 12 Core 3480 MHz,12,26552,4106,NA,Unknown,Laptop
Apple M2 Ultra 24 Core,24,50237,4196,NA,Unknown,Desktop
Apple M3 8 Core,8,19237,4765,20,Unknown,"Desktop, Laptop, Mobile/Embedded"
Apple M3 Max 14 Core,14,36526,4772,78,Unknown,Laptop
Apple M3 Max 16 Core,16,40869,4780,78,Unknown,Laptop
Apple M3 Pro 11 Core,11,24781,4749,27,Unknown,Laptop
Apple M3 Pro 12 Core,12,26224,4563,27,Unknown,Laptop
Apple M4 10 Core,10,25076,4470,NA,Unknown,Mobile/Embedded
Apple M4 9 Core,9,22241,4496,NA,Unknown,Mobile/Embedded
ARM - 32 Core 2911 MHz,32,8132,541,NA,Unknown,Mobile/Embedded
ARM - 32 Core 3300 MHz,32,8684,585,NA,Unknown,Mobile/Embedded
ARM - 8 Core 1766 MHz,8,4080,1205,NA,Unknown,Mobile/Embedded
ARM - 8 Core 1800 MHz,8,3258,1020,NA,Unknown,Unknown
ARM - 8 Core 2208 MHz,8,2270,607,NA,Unknown,Unknown
ARM - 8 Core 2424 MHz,8,8610,3083,NA,Unknown,Mobile/Embedded
ARM ARMv7 rev 1 (v7l) 4 Core 1608 MHz,4,776,445,NA,Unknown,Unknown
ARM ARMv7 rev 1 (v7l) 4 Core 1800 MHz,4,843,487,NA,Unknown,Mobile/Embedded
ARM ARMv7 rev 3 (v7l) 4 Core 2065 MHz,4,984,593,NA,Unknown,Mobile/Embedded
ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,4,403,272,NA,Unknown,Mobile/Embedded
ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,4,399,273,NA,Unknown,Mobile/Embedded
ARM ARMv7 rev 5 (v7l) 4 Core 1200 MHz,4,325,232,NA,Unknown,Unknown
[3-Way CPU] ARM ARMv8 rev 0 (v8l) 6 Core 1907 MHz,6,3477,697,NA,Unknown,Mobile/Embedded
[3-Way CPU] ARM ARMv8 rev 1 (v8l) 12 Core 2201 MHz,12,7371,1183,NA,Unknown,Mobile/Embedded
ARM ARMv8 rev 1 (v8l) 4 Core 1984 MHz,4,1312,632,NA,Unknown,Mobile/Embedded
ARM ARMv8 rev 1 (v8l) 6 Core 1510 MHz,6,2550,807,NA,Unknown,Mobile/Embedded
ARM Avalanche-M2 4 Core 2424 MHz,4,8233,3290,NA,Unknown,Mobile/Embedded
ARM Cortex-A15 4 Core 1400 MHz,4,1141,543,NA,Unknown,Mobile/Embedded
ARM Cortex-A15 4 Core 1500 MHz,4,1304,594,NA,Unknown,Mobile/Embedded
ARM Cortex-A15 4 Core 2000 MHz,4,923,524,NA,Unknown,Mobile/Embedded
ARM Cortex-A15 8 Core 1400 MHz,8,1160,563,NA,Unknown,Mobile/Embedded
ARM Cortex-A17 4 Core 1800 MHz,4,781,490,NA,Unknown,Mobile/Embedded
ARM Cortex-A35 4 Core 1200 MHz,4,329,157,NA,Unknown,Mobile/Embedded
ARM Cortex-A35 4 Core 1296 MHz,4,334,166,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1000 MHz,4,215,169,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1008 MHz,4,310,132,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1152 MHz,4,342,151,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1199 MHz,4,407,178,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1200 MHz,4,288,204,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1296 MHz,4,416,183,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1300 MHz,4,438,262,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1333 MHz,4,207,196,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1368 MHz,4,385,166,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1392 MHz,4,417,193,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1400 MHz,4,295,226,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1500 MHz,4,340,197,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1512 MHz,4,471,213,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1536 MHz,4,213,198,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1600 MHz,4,453,210,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1608 MHz,4,462,218,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1704 MHz,4,556,244,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1800 MHz,4,513,237,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 1908 MHz,4,638,274,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 2016 MHz,4,500,220,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 4 Core 600 MHz,4,220,137,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 6 Core 1896 MHz,6,1851,751,NA,Unknown,Mobile/Embedded
ARM Cortex-A53 8 Core 1512 MHz,8,681,165,NA,Unknown,Mobile/Embedded
ARM Cortex-A55 4 Core 1416 MHz,4,460,230,NA,Unknown,Mobile/Embedded
ARM Cortex-A55 4 Core 1800 MHz,4,625,288,NA,Unknown,Mobile/Embedded
ARM Cortex-A55 4 Core 1908 MHz,4,707,311,NA,Unknown,Unknown
ARM Cortex-A55 4 Core 1992 MHz,4,685,313,NA,Unknown,Mobile/Embedded
ARM Cortex-A55 4 Core 2016 MHz,4,755,327,NA,Unknown,Unknown
ARM Cortex-A55 4 Core 2100 MHz,4,666,306,NA,Unknown,Mobile/Embedded
ARM Cortex-A55 4 Core 2124 MHz,4,742,336,NA,Unknown,Mobile/Embedded
ARM Cortex-A55 8 Core 1800 MHz,8,3013,959,NA,Unknown,Mobile/Embedded
ARM Cortex-A57 2 Core 1479 MHz,2,318,207,NA,Unknown,Mobile/Embedded
ARM Cortex-A57 4 Core 1479 MHz,4,951,356,NA,Unknown,Mobile/Embedded
ARM Cortex-A57 4 Core 1734 MHz,4,1170,387,NA,Unknown,Mobile/Embedded
ARM Cortex-A57 4 Core 1912 MHz,4,1007,388,NA,Unknown,Mobile/Embedded
ARM Cortex-A57 4 Core 2014 MHz,4,1229,431,NA,Unknown,Mobile/Embedded
ARM Cortex-A57 4 Core 2091 MHz,4,1170,413,NA,Unknown,Mobile/Embedded
ARM Cortex-A57 8 Core 1500 MHz,8,1022,346,NA,Unknown,Mobile/Embedded
ARM Cortex-A57 8 Core 1766 MHz,8,3766,1153,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 2 Core 1080 MHz,2,142,200,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 2 Core 960 MHz,2,111,160,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 2 Core 996 MHz,2,138,192,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 4 Core 1000 MHz,4,278,194,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 4 Core 1008 MHz,4,269,198,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 4 Core 1200 MHz,4,262,198,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 4 Core 1296 MHz,4,225,162,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 4 Core 1300 MHz,4,343,247,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 4 Core 1368 MHz,4,354,266,NA,Unknown,Mobile/Embedded
ARM Cortex-A7 4 Core 900 MHz,4,229,164,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 16 Core 2200 MHz,16,5470,601,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1000 MHz,4,608,354,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1200 MHz,4,174,178,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1416 MHz,4,927,491,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1500 MHz,4,626,448,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1600 MHz,4,667,429,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1700 MHz,4,577,455,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1750 MHz,4,335,463,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1800 MHz,4,693,512,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1850 MHz,4,199,343,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 1900 MHz,4,755,562,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2000 MHz,4,772,575,NA,Unknown,Mobile/Embedded
ARM Cortex-A72 4 Core 2016 MHz,4,2192,607,NA,Unknown,Unknown
